"행정구역별(읍면동)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"광주시",375238,194288,180950,356432,181623,174809,18806,12665,6141,141279,136730,110,4439,125545,16186,48202,3916,56182,1059,4526
"양주시",224684,115541,109143,213908,107708,106200,10776,7833,2943,83851,81582,145,2124,79875,10815,59763,1322,7018,957,3368
"포천시",159871,87476,72395,140938,73405,67533,18933,14071,4862,62275,58273,143,3859,54168,21179,19731,2609,9521,1128,5512
"여주시",111981,57249,54732,106631,53999,52632,5350,3250,2100,44009,42903,103,1003,41059,20239,14182,1418,4287,933,2036
"연천군",42540,22578,19962,41111,21565,19546,1429,1013,416,18043,17681,29,333,16111,8863,4536,1201,1107,404,880
"가평군",59823,30360,29463,58294,29676,28618,1529,684,845,25361,24950,54,357,25995,14613,5306,1912,3339,825,1205
"양평군",111836,56004,55832,109413,54907,54506,2423,1097,1326,46539,45895,82,562,45368,30519,7851,1437,4679,882,1745
"강원도",1520127,767717,752410,1493119,753098,740021,27008,14619,12389,641021,633942,637,6442,627376,236397,346389,20977,12336,11277,16122
"읍부",256203,131052,125151,251290,128300,122990,4913,2752,2161,105531,104357,144,1030,107535,48228,46108,6244,4264,2691,3279
"면부",350394,181717,168677,341959,176831,165128,8435,4886,3549,152493,150561,265,1667,160192,111632,38759,3586,2784,3431,5734
"동부",913530,454948,458582,899870,447967,451903,13660,6981,6679,382997,379024,228,3745,359649,76537,261522,11147,5288,5155,7109
"춘천시",284753,140095,144658,278878,137000,141878,5875,3095,2780,115187,113550,95,1542,100791,27234,68965,1803,1431,1358,2064
"원주시",349319,174245,175074,344184,171454,172730,5135,2791,2344,143720,142352,112,1256,137734,30269,103631,1172,1209,1453,3150
"강릉시",216357,108707,107650,212865,106920,105945,3492,1787,1705,93078,92093,105,880,85780,29481,50175,2919,1470,1735,1868
"동해시",86780,44086,42694,85575,43365,42210,1205,721,484,36613,36214,23,376,38906,10461,24961,1657,1152,675,679
"태백시",42474,21366,21108,42106,21259,20847,368,107,261,18640,18536,20,84,20595,5965,11525,2553,145,407,377
"속초시",78643,39015,39628,77209,38163,39046,1434,852,582,34550,34213,19,318,36090,8544,24949,1497,483,617,962
"삼척시",67210,34827,32383,66197,34244,31953,1013,583,430,29615,29361,35,219,30699,13381,14268,1565,920,565,601
"홍천군",66634,34090,32544,65216,33291,31925,1418,799,619,28728,28356,46,326,29593,18753,8034,1521,629,656,894
"횡성군",44431,22615,21816,43422,22052,21370,1009,563,446,19162,18912,27,223,19741,14196,4361,375,465,344,765
"영월군",36332,18696,17636,35813,18483,17330,519,213,306,16730,16608,21,101,17171,11425,3908,658,792,388,569
"평창군",39657,20341,19316,39002,20051,18951,655,290,365,17963,17758,24,181,21396,12529,5398,1933,1053,483,723
"정선군",35255,18390,16865,34816,18256,16560,439,134,305,15707,15595,21,91,16994,10062,5605,379,494,454,540
